"esr";"status";"type";"osm_id";"lat";"lon";"name";"alt_name";"old_name";"official_name";"railway";"user"
"158132";"1";"0";"271092830";"53.76185608";"31.64561844";"Дарливое";"";"";"";"halt";"158132"
"158144";"1";"0";"2195424862";"53.75286484";"31.70188904";"Депо";"";"";"";"halt";"158144"
"158209";"1";"0";"306068370";"53.7390976";"31.71095085";"Кричев-1";"";"";"";"station";"158209"
"158233";"1";"0";"306068373";"53.80276108";"31.6604023";"Бель";"";"";"";"halt";"158233"
"158248";"1";"0";"306068363";"53.8532753";"31.58220863";"Малятичи";"";"";"";"halt";"158248"
"158252";"1";"0";"306068365";"53.88328171";"31.55175018";"Воловники";"";"";"";"halt";"158252"
"158267";"1";"0";"271092791";"53.86441422";"31.56535339";"Чёрная Натопа";"";"";"";"halt";"158267"
"158303";"1";"0";"306068366";"53.92841721";"31.48124313";"Ходосы";"";"";"";"station";"158303"
"158318";"1";"0";"306068470";"53.97994995";"31.41185951";"Пячковичи";"";"";"";"halt";"158318"
"158322";"1";"0";"306068456";"54.03674698";"31.33684349";"Красноручье";"";"";"";"halt";"158322"
"158337";"1";"0";"2315409057";"54.01137924";"31.37159348";"Кошь";"";"";"";"halt";"158337"
"158407";"1";"0";"306068455";"54.0970459";"31.24267197";"Тёмный Лес";"";"";"";"station";"158407"
"158411";"1";"0";"306068439";"54.16613007";"31.15707207";"Никольск";"";"";"";"halt";"158411"
"158426";"1";"0";"306068440";"54.20368195";"31.08560181";"Кледневичи";"";"";"";"halt";"158426"
"158430";"1";"0";"271092947";"54.13107681";"31.19536018";"Пичевка";"";"";"";"halt";"158430"
"158445";"1";"0";"3312243062";"54.06887436";"31.28704834";"Ремество";"";"";"";"halt";"158445"
"158500";"1";"0";"306068451";"54.26406479";"30.98996544";"Погодино";"";"";"";"station";"158500"
"158515";"1";"0";"306068447";"54.29730225";"30.87147141";"Ректа";"";"";"";"halt";"158515"
"158528";"1";"0";"3312243061";"54.23069";"31.04511833";"Паршино";"";"";"";"halt";"158528"
"158534";"1";"0";"306068433";"54.3456459";"30.74219131";"Зубры";"";"";"";"halt";"158534"
"158619";"1";"0";"271091162";"54.37937546";"30.6594944";"Ермоловка";"Ермоловка";"";"";"halt";"158619"
"158623";"1";"0";"1563490094";"54.40341949";"30.5869751";"Сидоровка";"";"";"";"halt";"158623"
"158708";"1";"0";"1563490090";"54.44023132";"30.46010971";"Румино";"";"";"";"station";"158708"
"158905";"1";"0";"306068429";"53.72240448";"32.15710831";"Шестёровка";"";"";"";"station";"158905"
"159005";"1";"0";"306068419";"53.23317337";"32.16147232";"Белынковичи";"";"";"";"station";"159005"
"159019";"1";"0";"2624644813";"53.16268158";"32.2664299";"Журбин";"";"";"";"halt";"159019"
"159039";"1";"0";"306068423";"53.28278351";"32.11679459";"Новолиповский";"";"";"";"halt";"159039"
"159043";"1";"0";"3310606619";"53.20068359";"32.20996094";"Бони";"";"";"";"halt";"159043"
"159109";"1";"0";"306068422";"53.37812805";"32.05963898";"Коммунары";"";"";"";"station";"159109"
"159113";"1";"0";"271091702";"53.44976807";"32.04085159";"Волосковня";"";"";"";"station";"159113"
"159128";"1";"0";"306068384";"53.52294159";"32.00928116";"Осмоловичи";"";"";"";"halt";"159128"
"159202";"1";"0";"882188218";"53.60767746";"31.92411995";"Климовичи";"";"";"";"station";"159202"
"160002";"1";"0";"3218899107";"55.19500351";"30.18495941";"Витебск";"";"";"";"station";"160002"
"160017";"1";"0";"306066549";"55.17819595";"30.09869766";"Гришаны";"";"";"";"halt";"160017"
"160021";"1";"0";"4039459534";"55.18267441";"30.02014351";"Княжица";"";"";"";"station";"160021"
"160036";"1";"0";"2943338558";"55.20449829";"29.93273544";"Лётцы";"";"";"";"station";"160036"
"160040";"1";"0";"1613920598";"55.22787094";"29.88485718";"Старое Село";"";"";"";"station";"160040"
"160040";"1";"1";"287734955";"55.22763062";"29.88458633";"Старое Село";"";"";"";"station";"160040"
"160055";"1";"0";"306066884";"55.26377869";"29.76110649";"Язвино";"";"";"";"station";"160055"
"160063";"1";"0";"1399667955";"55.2545929";"29.80550194";"Ужлятино";"";"";"";"halt";"160063"
"160322";"1";"0";"27239749";"55.32892609";"30.08820343";"Лосвидо";"Лосвида";"";"";"station";"160322"
"160337";"1";"0";"306066519";"55.40826797";"30.05947113";"Залучье";"";"";"";"station";"160337"
"160341";"1";"0";"2415144487";"55.38959885";"30.08286667";"Батали";"Ботали";"";"";"halt";"160341"
"160356";"1";"0";"27239729";"55.35604477";"30.0895195";"Должа";"";"";"";"halt";"160356"
"160407";"1";"0";"27239792";"55.25534821";"30.11235428";"Лужесно";"";"";"";"station";"160407"
"160604";"1";"0";"27077492";"55.47088242";"30.00506592";"Городок";"";"";"";"station";"160604"
"160708";"1";"0";"27077518";"55.50347519";"29.96416664";"Прудок";"";"";"";"halt";"160708"
"160712";"1";"0";"306066935";"55.58503723";"29.9399128";"Росляки";"";"";"";"station";"160712"
"160731";"1";"0";"1762393856";"55.76481247";"29.9978466";"Грибачи";"";"";"";"station";"160731"
"160746";"1";"0";"2498540667";"55.7070694";"29.9864521";"Меховое";"";"";"";"halt";""
"160801";"1";"0";"306066510";"55.84103775";"29.97391319";"Езерище";"";"";"";"station";"160801"
"160905";"1";"0";"937597487";"55.30356598";"29.61854172";"Шумилино";"";"";"";"station";"160905"
"160910";"1";"0";"1613922636";"55.31708908";"29.44985771";"Ловша";"";"";"";"station";"160910"
"160924";"1";"0";"1613922637";"55.35095978";"29.34558296";"Пуща";"";"";"";"halt";"160924"
"160939";"1";"0";"4279754158";"55.31596756";"29.4992733";"Добрино";"";"";"";"halt";"160939"
"161109";"1";"0";"5580688560";"55.36352158";"29.2749939";"Оболь";"";"";"";"station";"161109"
"161113";"1";"0";"306066788";"55.39429474";"29.14634132";"Глушанино";"";"";"";"halt";"161113"
"161128";"1";"0";"1565450555";"55.42496109";"29.03421021";"Горяны";"";"";"";"station";"161128"
"161217";"1";"0";"1967214771";"55.52980804";"28.87479782";"Секеровщина";"";"";"";"halt";"161217"
"161221";"1";"0";"1565450566";"55.48035812";"28.83172607";"Сосница";"";"";"";"station";"161221"
"161236";"1";"0";"306067042";"55.49290848";"28.81557655";"Громы";"";"";"";"station";"161236"
"161240";"1";"0";"1967214770";"55.54904938";"28.90380859";"Поздняково";"";"";"";"halt";"161240"
"161255";"1";"0";"119324550";"55.60378265";"29.0413475";"Полота";"";"";"";"station";"161255"
"161269";"1";"0";"1967211288";"55.5731163";"28.98000336";"Юровичи";"";"";"";"halt";"161269"
"161306";"1";"0";"119298123";"55.49188614";"28.78269005";"Полоцк";"";"";"";"station";"161306"
"161607";"1";"0";"306066822";"55.73447418";"29.33000183";"Алёща";"";"";"";"station";"161607"
"161700";"1";"0";"3396725382";"55.83430862";"27.73752022";"Бигосово";"";"";"";"station";"161700"
"161804";"1";"0";"306064913";"55.81687927";"27.94003296";"Верхнедвинск";"";"";"";"station";"161804"
"161819";"1";"0";"3407424294";"55.75447083";"28.10779572";"Свольно";"";"";"";"station";"161819"
"161823";"1";"0";"746916778";"55.71447372";"28.21613884";"Бениславского";"";"";"";"halt";"161823"
"161838";"1";"0";"1613918486";"55.83362198";"27.87264252";"Сарьянка";"";"";"";"halt";"161838"
"161908";"1";"0";"1632682372";"55.67024231";"28.3262043";"Борковичи";"";"";"";"station";"161908"
"161912";"1";"0";"5413610133";"55.63930893";"28.41650581";"Подозерцы";"";"";"";"halt";"161912"
"162309";"1";"0";"306067499";"53.97826767";"25.65239716";"Гавья";"";"";"";"station";"162309"
"162313";"1";"0";"271036651";"54.00004959";"25.71134758";"Березовцы";"";"";"";"halt";"162313"
"162328";"1";"0";"306067525";"54.03307343";"25.8341732";"Лобачи";"";"";"";"halt";"162328"
"162332";"1";"0";"2313751583";"53.96578598";"25.55724144";"Князиковцы";"";"";"";"halt";"162332"
"162347";"1";"0";"2767449949";"53.93554306";"25.44401741";"Цверма";"";"";"";"halt";"162347"
"162351";"1";"0";"2774608149";"54.22393799";"26.65565681";"Литва";"";"";"";"halt";"162351"
"162402";"1";"0";"3721358306";"54.06429291";"25.91710854";"Юратишки";"";"";"";"station";"162402"
"162417";"1";"0";"306067534";"54.09083939";"25.96564484";"Довгердишки";"";"";"";"halt";"162417"
"162421";"1";"0";"306068754";"54.12112427";"26.02113152";"Яхимовщина";"";"";"";"halt";"162421"
"162436";"1";"0";"2773691521";"54.16038895";"26.09335899";"Войгяны";"";"";"";"halt";"162436"
"162506";"1";"0";"306066293";"54.17119598";"26.15378189";"Богданов";"";"";"";"station";"162506"
